,Freq,Reporter,Partner,ProductCode,Indicator,Year,Value,DataSource
1583,Annual,"Gambia, The",Senegal,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,12282.8475733764,WITS - UNSD Comtrade
490,Annual,Andorra,Europe and Central Asia,Hides and Skins,Import Trade Value (US$ Thousand),2017,12263.2103817985,WITS - UNSD Comtrade
612,Annual,Moldova,Germany,Animal,Import Trade Value (US$ Thousand),2017,12256.719,WITS - UNSD Comtrade
356,Annual,"Congo, Rep.",China,Plastic or Rubber,Import Trade Value (US$ Thousand),2017,12245.8656336431,WITS - UNSD Comtrade
1668,Annual,"Gambia, The",Sub-Saharan Africa,Capital goods,Import Trade Value (US$ Thousand),2017,12242.3831636476,WITS - UNSD Comtrade
401,Annual,Aruba,Unspecified,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,12230.501375354,WITS - UNSD Comtrade
2325,Annual,Seychelles,Sub-Saharan Africa,Chemicals,Import Trade Value (US$ Thousand),2017,12224.01774,WITS - UNSD Comtrade
988,Annual,Nepal,India,Footwear,Import Trade Value (US$ Thousand),2017,12215.6659862453,WITS - UNSD Comtrade
1467,Annual,Guyana,North America,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,12214.8973217187,WITS - UNSD Comtrade
1994,Annual,Barbados,North America,Agricultural Raw Materials,Import Trade Value (US$ Thousand),2017,12208.162,WITS - UNSD Comtrade
2414,Annual,Zambia,Sub-Saharan Africa,Agricultural Raw Materials,Import Trade Value (US$ Thousand),2017,12205.755,WITS - UNSD Comtrade
206,Annual,Central African Republic,Cameroon,Food Products,Import Trade Value (US$ Thousand),2017,12202.1751345431,WITS - UNSD Comtrade
3355,Annual,Tanzania,World,Hides and Skins,Import Trade Value (US$ Thousand),2017,12189.865,WITS - UNSD Comtrade
454,Annual,Mali,Cote d'Ivoire,Wood,Import Trade Value (US$ Thousand),2017,12185.8560600457,WITS - UNSD Comtrade
1122,Annual,St. Lucia,Latin America and Caribbean,Chemicals,Import Trade Value (US$ Thousand),2017,12182.934409646,WITS - UNSD Comtrade
