ReporterEconomyCode,PartnerEconomyCode,Year,Value,r_lat,r_long,Reporter,p_lat,p_long,Partner,ProductOrSectorCode
804,616,2017,12945935.0,48.379433,31.16558,Ukraine,51.919438,19.145136,Poland,01
376,620,2017,101443000.0,31.046051,34.851612,Israel,39.399872,-8.224454,Portugal,01
417,398,2017,296096.0,41.20438,74.766098,Kyrgyz Republic,48.019573,66.923684,Kazakhstan,01
417,860,2017,174273.0,41.20438,74.766098,Kyrgyz Republic,41.377491,64.585262,Uzbekistan,01
418,704,2017,1326633.0,19.85627,102.495496,Lao PDR,14.058324,108.277199,Vietnam,01
426,710,2017,10894217.0,-29.609988,28.233608,Lesotho,-30.559482,22.937506,South Africa,01
450,710,2017,94767.0,-18.766947,46.869107,Madagascar,-30.559482,22.937506,South Africa,01
480,710,2017,16310867.0,-20.348404,57.552152,Mauritius,-30.559482,22.937506,South Africa,01
516,710,2017,5688929.0,-22.95764,18.49041,Namibia,-30.559482,22.937506,South Africa,01
566,710,2017,90045.0,9.081999,8.675277,Nigeria,-30.559482,22.937506,South Africa,01
690,710,2017,108024.0,-4.679574,55.491977,Seychelles,-30.559482,22.937506,South Africa,01
748,710,2017,2819170.0,-26.522503,31.465866,Swaziland,-30.559482,22.937506,South Africa,01
800,710,2017,288850.0,1.373333,32.290275,Uganda,-30.559482,22.937506,South Africa,01
426,516,2017,847.0,-29.609988,28.233608,Lesotho,-22.95764,18.49041,Namibia,01
710,516,2017,183906599.0,-30.559482,22.937506,South Africa,-22.95764,18.49041,Namibia,01
446,344,2017,73005.0,22.198745,113.543873,Macao,22.396428,114.109497,"Hong Kong, China",01
554,344,2017,770921.0,-40.900557,174.885971,New Zealand,22.396428,114.109497,"Hong Kong, China",01
450,480,2017,240030.0,-18.766947,46.869107,Madagascar,-20.348404,57.552152,Mauritius,01
646,480,2017,68489.0,-1.940278,29.873888,Rwanda,-20.348404,57.552152,Mauritius,01
690,480,2017,201504.0,-4.679574,55.491977,Seychelles,-20.348404,57.552152,Mauritius,01
